id_student,freq_util,verif_sources,model_quality,prompt_quality,note_exam
70,1,4,3,2,98
77,2,0,1,2,nan
93,3,5,1,2,78
63,1,0,4,0,21
105,3,3,3,nan,58
24,3,0,0,1,0
46,5,0,2,2,0
5,1,2,1,1,79
17,3,2,4,2,17
47,3,5,0,2,0
21,1,4,2,4,43
95,4,3,5,1,98
90,4,0,2,2,0
23,1,2,0,3,20
8,1,3,nan,2,63
29,1,3,5,4,100
25,2,0,2,4,0
31,1,3,4,0,52
35,3,1,2,2,nan
96,3,0,4,1,39
116,2,0,nan,0,0
13,1,2,0,2,0
22,2,3,2,0,12
94,3,0,0,2,0
100,3,1,3,2,55
91,3,0,2,2,49
102,nan,0,1,3,0
111,4,5,2,4,100
74,3,3,2,1,22
73,5,0,2,0,0
101,3,4,2,2,74
123,1,0,3,3,86
39,2,3,3,1,63
71,3,1,4,4,100
126,4,5,4,4,100
66,4,1,1,2,0
64,0,3,0,2,51
118,1,1,0,2,0
97,4,2,4,3,78
89,2,3,4,3,100
99,1,1,4,nan,nan
78,2,0,nan,0,0
7,3,2,4,2,42
109,2,4,0,3,64
83,3,5,1,1,26
41,3,1,4,1,45
119,2,1,1,0,0
59,5,1,1,1,0
58,3,0,0,2,20
120,4,1,4,5,96
122,2,1,1,0,0
18,1,5,1,1,24
1,1,4,1,0,98
38,2,5,0,0,78
51,1,0,2,0,33
56,1,0,4,3,87
50,2,1,0,4,20
112,nan,3,0,4,25
49,2,2,4,2,13
87,1,1,2,4,83
40,4,3,0,2,21
44,4,0,0,3,44
86,4,5,1,0,0
37,nan,0,3,0,0
68,4,5,0,0,0
67,1,4,2,0,34
107,1,3,5,2,58
98,5,1,0,0,0
125,4,1,2,3,7
124,2,1,3,nan,0
0,1,1,1,0,19
32,1,0,2,1,0
30,3,4,nan,4,100
34,5,0,1,5,25
52,1,2,nan,2,65
27,3,0,3,2,0
103,0,0,1,2,63
62,3,1,3,2,49
69,1,0,3,0,0
33,0,3,0,0,27
57,3,0,1,0,0
85,4,0,2,2,0
45,3,4,0,2,55
53,2,0,1,1,22
108,4,4,0,2,29
15,2,0,4,0,9
20,5,3,3,4,100
82,3,0,2,1,0
4,5,4,5,1,76
65,1,2,5,3,47
36,5,0,0,1,0
61,nan,1,4,0,3
60,5,3,5,5,100
76,2,2,3,2,55
92,0,3,4,1,0
10,2,1,3,nan,51
114,0,0,5,1,40
117,2,2,4,1,68
88,4,0,2,5,0
54,2,0,1,nan,7
28,5,3,0,0,0
72,3,3,3,2,40
104,3,0,1,4,0
42,3,5,5,1,100
3,3,0,0,5,0
2,5,nan,1,0,0
19,1,0,0,0,25
43,2,3,1,3,71
106,1,3,nan,3,41
14,4,1,2,2,0
48,4,0,1,0,0
110,3,1,nan,0,0
9,4,2,3,1,9
11,3,0,3,2,0
6,2,2,5,3,54
121,5,1,nan,5,52
79,3,4,0,1,0
80,2,0,3,2,53
16,2,0,3,4,37
26,4,1,3,1,0
75,3,0,1,1,0
115,1,0,4,2,41
81,0,5,3,0,34
55,3,2,3,4,45
84,3,4,0,nan,51
113,4,2,2,3,100
12,2,1,4,0,60
