id_student,freq_util,verif_sources,model_quality,prompt_quality,note_exam
7,4,1,2,1,0
45,4,3,1,5,54
12,4,0,1,0,0
72,5,2,4,3,63
51,1,3,4,5,71
1,2,1,2,1,22
4,4,0,2,2,36
69,3,1,3,1,0
10,4,0,4,0,0
21,2,1,2,2,0
82,3,0,2,5,36
11,4,2,1,0,0
24,3,1,0,3,0
68,4,2,0,nan,34
20,4,3,1,4,40
52,2,3,2,2,46
65,2,5,3,2,32
14,0,0,1,2,41
79,5,2,3,0,0
66,0,0,1,1,26
36,4,3,0,1,4
28,2,0,1,1,2
73,4,4,2,2,81
34,5,2,4,3,100
5,2,1,5,2,57
9,4,2,1,5,100
35,2,3,0,3,21
61,5,1,2,2,10
70,2,0,3,2,11
60,3,0,3,1,0
49,1,0,0,1,8
78,1,5,1,0,1
44,3,0,2,4,3
43,1,2,4,4,54
29,3,0,0,5,0
0,2,0,0,4,0
62,3,0,2,3,11
55,4,0,4,1,22
57,2,4,0,nan,79
63,5,4,2,2,100
41,3,5,3,2,86
16,3,0,1,4,20
30,4,3,3,0,4
47,3,2,3,4,76
39,3,3,2,1,0
8,1,2,0,3,0
18,4,2,1,4,51
38,3,1,0,0,48
54,1,0,3,2,31
26,5,5,2,1,91
50,2,0,2,4,54
80,2,3,0,1,0
25,3,1,1,1,0
84,3,2,3,1,52
2,2,0,5,0,41
40,3,0,2,5,61
3,5,0,3,3,0
64,2,1,2,0,0
74,4,2,2,1,0
76,2,3,2,1,0
83,2,5,1,5,100
77,3,1,3,2,39
42,5,3,1,0,0
27,3,3,3,2,100
31,4,5,0,3,57
67,2,3,1,0,11
33,2,0,2,0,0
6,4,0,0,1,6
56,4,5,4,0,100
53,1,5,2,3,49
58,3,1,3,0,0
17,4,0,2,2,0
85,3,1,3,3,48
71,5,2,2,3,21
75,3,0,2,4,39
13,2,0,4,nan,25
81,3,0,1,3,14
32,2,3,5,1,80
19,3,4,4,0,78
22,3,0,4,3,31
86,3,2,0,1,0
37,2,3,1,3,0
15,4,5,4,1,100
59,2,5,3,3,100
23,4,1,4,0,43
48,3,3,1,0,3
46,5,3,2,1,0
