id_student,freq_util,verif_sources,model_quality,prompt_quality,note_exam
50,3,4,2,5,76
7,5,1,4,0,0
31,1,3,2,2,58
25,1,0,5,5,100
35,3,0,0,2,0
37,3,3,0,1,0
47,3,0,0,0,0
11,3,0,0,1,0
59,3,5,4,nan,100
46,4,5,3,0,79
55,2,2,4,0,53
30,1,4,3,1,87
52,0,nan,3,5,0
29,4,2,2,5,100
23,5,1,nan,4,48
28,5,2,3,2,nan
18,1,0,4,2,22
1,3,1,4,4,89
8,5,1,3,5,100
36,4,3,2,1,9
56,1,1,1,nan,100
3,4,5,3,2,100
60,1,0,0,1,41
44,3,nan,4,5,50
45,0,2,0,5,22
19,3,5,3,2,100
41,4,4,4,2,80
51,4,1,1,0,0
4,2,0,2,2,0
0,2,0,4,2,26
15,3,nan,3,1,39
12,2,2,3,1,54
42,2,0,0,1,0
49,4,0,4,5,100
54,1,0,0,1,45
43,3,4,2,2,21
34,4,2,nan,0,0
24,1,5,0,1,21
2,0,0,0,0,7
32,3,5,2,1,55
57,2,0,3,5,92
13,5,2,4,4,77
26,4,0,nan,1,0
33,4,0,0,1,0
27,3,4,2,3,72
14,3,nan,0,0,0
48,2,1,3,4,100
16,2,3,3,3,91
53,5,nan,0,1,0
21,1,0,0,nan,45
38,4,1,1,2,0
9,5,5,3,1,56
22,4,3,4,1,32
20,3,3,3,2,79
10,2,3,4,1,2
6,5,3,2,0,0
40,4,0,2,1,0
39,4,3,5,5,100
5,3,0,3,2,0
58,4,4,3,2,93
17,5,5,1,5,100
